text,label
"А Бог с вами!
Будьте овцами!
Ходите стадами, стаями
Без мечты, без мысли собственной
Вслед Гитлеру или Сталину

Являйте из тел распластанных
Звезду или свасты крюки.

23 июня 1934",cvetaeva
"А во лбу моем – знай! –
Звезды горят.
В правой рученьке – рай,
в левой рученьке – ад.

Есть и шелковый пояс –
От всех мытарств.
Головою покоюсь
На Книге Царств.

Много ль нас таких
На святой Руси –
У ветров спроси,
У волков спроси.

Так из края в край,
Так из града в град,
В правой рученьке – рай,
В левой рученьке – ад.

Рай и ад намешала тебе в питье,
День единый теперь – житие твое.

Проводи, жених,
До седьмой версты!
Много нас таких
На святой Руси.

Июль 1919",cvetaeva
"А над равниной –
Крик лебединый.
Матерь, ужель не узнала сына?
Это с заоблачной – он – версты,
Это последнее – он – прости.

А над равниной –
Вещая вьюга.
Дева, ужель не узнала друга?
Рваные ризы, крыло в крови?
Это последнее он: Живи!

Над окаянной –
Взлет осиянный.
Праведник душу урвал – осанна!
Каторжник койку-обрел-теплынь.
Пасынок к матери в дом. – Аминь.

Между 15 и 25 августа 1921",cvetaeva
"А что если кудри в плат
Упрячу – что вьются валом,
И в синий вечерний хлад
Побреду себе...

– Куда это держишь путь,
Красавица – аль в обитель?
– Нет, милый, хочу взглянуть
На царицу, на царевича, на Питер.

– Ну, дай тебе Бог! – Тебе! –
Стоим опустив ресницы.
– Поклон от меня Неве,
Коль запомнишь, да царевичу с царицей.

?И вот меж крылец – крыльцо
Горит заревою пылью,
И вот – промеж лиц – лицо
Горбоносое и волосы как крылья.

На лестницу нам нельзя, –
Следы по ступенькам лягут.
И снизу – глаза в глаза:
– Не потребуется ли, барынька, ягод?

28 июня 1916",cvetaeva
"Август – астры,
Август – звезды.
Август – грозди
Винограда и рябины
Ржавой – август!

Полновесным, благосклонным
Яблоком своим имперским,
Как дитя, играешь, август.
Как ладонью, гладишь сердце
Именем своим имперским:
Август! – Сердце!

Месяц поздних поцелуев,
Поздних роз и молний поздних!
Ливней звездных –
Август! – Месяц
Ливней звездных!

7 февраля 1917",cvetaeva
"Амбразуры окон потемнели,
Не вздыхает ветерок долинный,
Ясен вечер; сквозь вершину ели
Кинул месяц первый луч свой длинный.

Ангел взоры опустил святые,
Люди рады тени промелькнувшей,
И спокойны глазки золотые
Нежной девочки, к окну прильнувшей.",cvetaeva
"Темной капеллы, где плачет орган,
Близости кроткого лика!..
Счастья земного мне чужд ураган:
Я – Анжелика.

Тихое пенье звучит в унисон,
Окон неясны разводы,
Жизнью моей овладели, как сон,
Стройные своды.

Взор мой и в детстве туда ускользал,
Он городами измучен.
Скучен мне говор и блещущий зал,
Мир мне – так скучен!

Кто-то пред Девой затеплил свечу,
(Ждет исцеленья ль больная?)
Вот отчего я меж вами молчу:
Вся я – иная.

Сладостна слабость опущенных рук,
Всякая скорбь здесь легка мне.
Плющ темнолиственный обнял как друг
Старые камни;

Бело и розово, словно миндаль,
Здесь расцвела повилика...
Счастья не надо. Мне мира не жаль:
Я – Анжелика.",cvetaeva
"Узкий, нерусский стан –
Над фолиантами.
Шаль из турецких стран
Пала, как мантия.

Вас передашь одной
Ломаной черной линией.
Холод – в весельи, зной –
В Вашем унынии.

Вся Ваша жизнь – озноб,
И завершится – чем она?
Облачный – темен – лоб
Юного демона.

Каждого из земных
Вам заиграть – безделица!
И безоружный стих
В сердце нам целится.

В утренний сонный час, –
Кажется, четверть пятого, –
Я полюбила Вас,
Анна Ахматова.

11 февраля 1915",cvetaeva
"Гул предвечерний в заре догорающей
В сумерках зимнего дня.
Третий звонок. Торопись, отъезжающий,
Помни меня!

Ждет тебя моря волна изумрудная,
Всплеск голубого весла,
Жить нашей жизнью подпольною, трудною
Ты не смогла.

Что же, иди, коль борьба наша мрачная
В наши ряды не зовет,
Если заманчивей влага прозрачная,
Чаек сребристых полет!

Солнцу горячему, светлому, жаркому
Ты передай мой привет.
Ставь свой вопрос всему сильному, яркому –
Будет ответ!

Гул предвечерний в заре догорающей
В сумерках зимнего дня.
Третий звонок. Торопись, отъезжающий,
Помни меня!",cvetaeva
"Кем полосынька твоя
Нынче выжнется?
Чернокосынька моя!
Чернокнижница!

Дни полночные твои,
Век твой таборный?
Все работнички твои
Разом забраны.

Где сподручники твои,
Те сподвижнички?
Белорученька моя,
Чернокнижница!

Не загладить тех могил
Слезой, славою.
Один заживо ходил –
Как удавленный.

Другой к стеночке пошел
Искать прибыли.
(И гордец же был-сокол!)
Разом выбыли.

Высоко твои братья!
Не докличешься!
Яснооконька моя,
Чернокнижница!

А из тучи-то (хвала –
Диво дивное!)
Соколиная стрела,
Голубиная?

Знать, в два перышка тебе
Пишут тамотка,
Знать, уж в скорости тебе
Выйдет грамотка:

– Будет крылышки трепать
О булыжники!
Чернокрылонька моя!
Чернокнижница!

29 декабря 1921",cvetaeva
